"","x"
"1","great"
"2","excellent"
"3","wonderful"
"4","best"
"5","of_best"
"6","love"
"7","perfect"
"8","loved"
"9","amazing"
"10","beautiful"
"11","superb"
"12","well"
"13","favorite"
"14","brilliant"
"15","highly"
"16","life"
"17","must_see"
"18","also"
"19","fantastic"
"20","very"
"21","beautifully"
"22","one_of"
"23","both"
"24","as"
"25","today"
"26","always"
"27","very_well"
"28","performance"
"29","enjoyed"
"30","performances"
"31","well_worth"
"32","highly_recommend"
"33","years"
"34","this_great"
"35","8_10"
"36","touching"
"37","10_10"
"38","wonderfully"
"39","outstanding"
"40","young"
"41","world"
"42","perfectly"
"43","highly_recommended"
"44","strong"
"45","7_10"
"46","powerful"
"47","well_as"
"48","8"
"49","as_well"
"50","definitely"
"51","terrific"
"52","classic"
"53","unique"
"54","love_this"
"55","story_of"
"56","especially"
"57","still"
"58","gem"
"59","7"
"60","own"
"61","heart"
"62","job"
"63","true"
"64","masterpiece"
"65","9_10"
"66","with_great"
"67","subtle"
"68","recommended"
"69","different"
"70","great_movie"
"71","very_good"
"72","loved_this"
"73","gives"
"74","delightful"
"75","great_job"
"76","great_film"
"77","underrated"
"78","brilliantly"
"79","each"
"80","greatest"
"81","stunning"
"82","on_dvd"
"83","performance_as"
"84","incredible"
"85","enjoyable"
"86","well_done"
"87","captures"
"88","hilarious"
"89","works"
"90","will"
"91","war"
"92","finest"
"93","role"
"94","fun"
"95","shows"
"96","memorable"
"97","oscar"
"98","moving"
"99","in"
"100","family"
"101","definitely_worth"
"102","supporting"
"103","story"
"104","lives"
"105","magnificent"
"106","solid"
"107","beauty"
"108","friendship"
"109","refreshing"
"110","first_saw"
"111","sweet"
"112","simple"
"113","journey"
"114","realistic"
"115","well_written"
"116","may_not"
"117","many"
"118","rare"
"119","but_also"
"120","emotions"
"121","top_notch"
"122","remarkable"
"123","enjoy"
"124","first_time"
"125","this_wonderful"
"126","complex"
"127","recommend"
"128","extraordinary"
"129","fascinating"
"130","music"
"131","awesome"
"132","this_excellent"
"133","perfection"
"134","best_of"
"135","played"
"136","plays"
"137","portrayal"
"138","of_most"
"139","tale"
"140","human"
"141","unforgettable"
"142","of"
"143","7_out"
"144","notch"
"145","fine"
"146","enjoyed_this"
"147","favourite"
"148","excellent_as"
"149","see_for"
"150","dvd"
"151","charming"
"152","at_same"
"153","so_well"
"154","intense"
"155","flawless"
"156","brings"
"157","of_favorite"
"158","superbly"
"159","between"
"160","great_as"
"161","experience"
"162","8_out"
"163","romantic"
"164","in_love"
"165","series"
"166","what_makes"
"167","favorites"
"168","same_time"
"169","emotional"
"170","breathtaking"
"171","of_great"
"172","poignant"
"173","it's_great"
"174","gorgeous"
"175","10_out"
"176","movie_great"
"177","relationship"
"178","very_funny"
"179","drama"
"180","helps"
"181","most"
"182","personal"
"183","although"
"184","man"
"185","funniest"
"186","good_as"
"187","9"
"188","very_different"
"189","makes_this"
"190","best_films"
"191","excellent_film"
"192","at_time"
"193","portrayal_of"
"194","timeless"
"195","marvelous"
"196","makes"
"197","pleasantly_surprised"
"198","later"
"199","atmosphere"
"200","unexpected"
"201","don't_miss"
"202","edge"
"203","unlike"
"204","effective"
"205","liked"
"206","first_rate"
"207","exceptional"
"208","wonderful_film"
"209","may"
"210","delight"
"211","see_again"
"212","very_entertaining"
"213","feelings"
"214","noir"
"215","haunting"
"216","does_great"
"217","new"
"218","of_greatest"
"219","city"
"220","gripping"
"221","who"
"222","provides"
"223","all_ages"
"224","meets"
"225","themes"
"226","best_movies"
"227","of_seat"
"228","father"
"229","quite"
"230","for_everyone"
"231","understated"
"232","pleasantly"
"233","excellent_job"
"234","roles"
"235","also_great"
"236","recommend_this"
"237","freedom"
"238","tragic"
"239","perfect_as"
"240","live"
"241","impressed"
"242","appreciated"
"243","of_war"
"244","natural"
"245","nicely"
"246","era"
"247","really_enjoyed"
"248","treat"
"249","by"
"250","available"
"251","society"
"252","adds"
"253","fabulous"
"254","also_very"
"255","tears"
"256","episodes"
"257","can't_wait"
"258","just_right"
"259","great_performances"
"260","often"
"261","best_film"
"262","edge_of"
"263","believable"
"264","lovely"
"265","crafted"
"266","acting_great"
"267","gritty"
"268","great_acting"
"269","ways"
"270","very_enjoyable"
"271","9_out"
"272","john"
"273","world_of"
"274","entertaining"
"275","just_great"
"276","adventure"
"277","films_of"
"278","score"
"279","of_fun"
"280","compelling"
"281","genius"
"282","of_funniest"
"283","be_missed"
"284","unusual"
"285","today's"
"286","famous"
"287","thanks"
"288","easy"
"289","supporting_cast"
"290","this_best"
"291","tells"
"292","ages"
"293","of_love"
"294","others"
"295","as_good"
"296","sadness"
"297","love_with"
"298","favorite_movies"
"299","job_as"
"300","recently"
"301","saw_this"
"302","of_finest"
"303","of_human"
"304","excellent_movie"
"305","nevertheless"
"306","fresh"
"307","vhs"
"308","become"
"309","performances_by"
"310","loving"
"311","joy"
"312","acting_superb"
"313","beautiful_film"
"314","surprised"
"315","happiness"
"316","as_always"
"317","deeply"
"318","for_those"
"319","extremely_well"
"320","musical"
"321","life_in"
"322","childhood"
"323","warm"
"324","perfectly_cast"
"325","sensitive"
"326","won"
"327","tragedy"
"328","nature"
"329","to_all"
"330","nominated"
"331","memories"
"332","not_perfect"
"333","relationships"
"334","surprisingly"
"335","did_great"
"336","delivers"
"337","appreciate"
"338","debut"
"339","adds_to"
"340","keeps"
"341","those_who"
"342","among"
"343","best_movie"
"344","late"
"345","heartbreaking"
"346","at_first"
"347","truly"
"348","life_of"
"349","sometimes"
"350","with"
"351","spectacular"
"352","wonderful_as"
"353","films"
"354","important"
"355","brought"
"356","day"
"357","jean"
"358","chilling"
"359","splendid"
"360","this_very"
"361","quiet"
"362","touches"
"363","of_own"
"364","performances_from"
"365","viewing"
"366","winning"
"367","masterful"
"368","innocence"
"369","growing_up"
"370","ensemble"
"371","that_will"
"372","very_touching"
"373","cast"
"374","history"
"375","contrast"
"376","creates"
"377","well_acted"
"378","times"
"379","holds"
"380","excellently"
"381","riveting"
"382","thoroughly_enjoyed"
"383","will_love"
"384","great_performance"
"385","not_be"
"386","shines"
"387","shows_how"
"388","tale_of"
"389","happy"
"390","overlooked"
"391","brilliant_as"
"392","to_perfection"
"393","allows"
"394","season"
"395","tremendous"
"396","satisfying"
"397","sense_of"
"398","hooked"
"399","finds"
"400","easy_to"
"401","world_war"
"402","recommend_to"
"403","very_moving"
"404","love_story"
"405","man_who"
"406","available_on"
"407","film"
"408","released"
"409","will_enjoy"
"410","can_relate"
"411","of_young"
"412","very_much"
"413","see"
"414","joy_to"
"415","score_by"
"416","feel_good"
"417","many_years"
"418","gem_of"
"419","years_later"
"420","chance"
"421","job_of"
"422","james"
"423","captivating"
"424","modern"
"425","traditional"
"426","steals_show"
"427","thought_provoking"
"428","pleasure"
"429","role_of"
"430","so_real"
"431","relate"
"432","viewings"
"433","love_for"
"434","small"
"435","performance_by"
"436","definitely_recommend"
"437","in_own"
"438","another_great"
"439","power_of"
"440","courage"
"441","steals"
"442","deals_with"
"443","view"
"444","in_many"
"445","in_role"
"446","new_york"
"447","cast_excellent"
"448","fast_paced"
"449","romance"
"450","great_story"
"451","would_love"
"452","deals"
"453","begins"
"454","all_great"
"455","mother"
"456","for_best"
"457","strength"
"458","wonderful_movie"
"459","at_times"
"460","young_man"
"461","images"
"462","really_great"
"463","surprising"
"464","perfect_in"
"465","takes"
"466","great_to"
"467","together"
"468","portrait"
"469","soundtrack"
"470","in_lives"
"471","dreams"
"472","provoking"
"473","very_strong"
"474","this_gem"
"475","best_ever"
"476","still_great"
"477","reality"
"478","david"
"479","touched"
"480","impact"
"481","with_excellent"
"482","bit"
"483","moved"
"484","elegant"
"485","performances_of"
"486","when_first"
"487","film_noir"
"488","must_for"
"489","film_very"
"490","raw"
"491","also_excellent"
"492","on_edge"
"493","still_very"
"494","very_real"
"495","paul"
"496","impressive"
"497","beauty_of"
"498","touch"
"499","excellent_performances"
"500","of_favorites"
"501","award"
"502","best_performances"
"503","future"
"504","early"
"505","most_memorable"
"506","eerie"
"507","to_life"
"508","york"
"509","also_good"
"510","story_told"
"511","pleasant"
"512","paced"
"513","academy_award"
"514","everyday"
"515","light"
"516","carries"
"517","to_live"
"518","matthau"
"519","explores"
"520","age"
"521","barbara"
"522","favorite_of"
"523","sharp"
"524","simplicity"
"525","success"
"526","even_better"
"527","heartwarming"
"528","thanks_to"
"529","job_in"
"530","only_complaint"
"531","fell_in"
"532","wrenching"
"533","exquisite"
"534","favorite_movie"
"535","perfect_for"
"536","surreal"
"537","witty"
"538","reveals"
"539","miss_this"
"540","frank"
"541","great_fun"
"542","music_by"
"543","follows"
"544","loneliness"
"545","it's_very"
"546","stewart"
"547","emotionally"
"548","absolutely_loved"
"549","portrait_of"
"550","uplifting"
"551","of_art"
"552","married"
"553","very_believable"
"554","engrossing"
"555","delightfully"
"556","top"
"557","innocent"
"558","known"
"559","this_beautiful"
"560","heart_warming"
"561","relate_to"
"562","well_made"
"563","yet"
"564","cinema"
"565","some_great"
"566","marriage"
"567","miss"
"568","twists_turns"
"569","of_family"
"570","tender"
"571","would_recommend"
"572","true_to"
"573","release"
"574","played_by"
"575","dramas"
"576","sees"
"577","blend_of"
"578","comedies"
"579","episode"
"580","growing"
"581","unfolds"
"582","darker"
"583","for_first"
"584","william"
"585","really_good"
"586","really_liked"
"587","social"
"588","including"
"589","consequences"
"590","work_of"
"591","inspiring"
"592","animation"
"593","highly_entertaining"
"594","stands"
"595","james_stewart"
"596","thumbs_up"
"597","each_of"
"598","cried"
"599","theme"
"600","thoroughly"
"601","will_always"
"602","but_still"
"603","lovable"
"604","brought_to"
"605","tells_story"
"606","little_film"
"607","love_to"
"608","visual"
"609","black_white"
"610","walter_matthau"
"611","oscar_for"
"612","whole_family"
"613","older"
"614","gentle"
"615","film_great"
"616","loves"
"617","atmosphere_of"
"618","shows_that"
"619","cinematography"
"620","learns"
"621","french"
"622","mesmerizing"
"623","many_ways"
"624","country"
"625","anyone_who"
"626","in_new"
"627","expertly"
"628","for_all"
"629","ideal"
"630","this_story"
"631","academy"
"632","great_characters"
"633","along_with"
"634","most_beautiful"
"635","as_one"
"636","time_favorite"
"637","story_about"
"638","brutal"
"639","movie_excellent"
"640","simple_but"
"641","for_each"
"642","cleverly"
"643","intelligent"
"644","astonishing"
"645","enjoyable_film"
"646","refreshing_to"
"647","real_life"
"648","achievement"
"649","vivid"
"650","different_from"
"651","film_excellent"
"652","deserves"
"653","conveys"
"654","should_see"
"655","as_ever"
"656","performance_of"
"657","wonderful_job"
"658","songs"
"659","back_in"
"660","nominated_for"
"661","rewarding"
"662","performances_as"
"663","remembered"
"664","animated"
"665","still_love"
"666","mature"
"667","film_festival"
"668","very_best"
"669","triumph"
"670","kudos"
"671","everyone_should"
"672","worth_seeing"
"673","enchanting"
"674","guilt"
"675","liked_this"
"676","film_for"
"677","received"
"678","bittersweet"
"679","balance"
"680","get_chance"
"681","in_opinion"
"682","watch_again"
"683","time_when"
"684","cast_great"
"685","than_most"
"686","bit_too"
"687","best_in"
"688","portrays"
"689","deeper"
"690","find"
"691","twists"
"692","won't_regret"
"693","warmth"
"694","affection"
"695","by_great"
"696","living"
"697","in_top"
"698","deep"
"699","style"
"700","superb_as"
"701","accessible"
"702","holds_up"
"703","good_job"
"704","fears"
"705","spot_on"
"706","past"
"707","today_as"
"708","impressed_with"
"709","released_on"
"710","familiar"
"711","especially_in"
"712","simple_story"
"713","slow_but"
"714","bond"
"715","best_work"
"716","seat"
"717","offers"
"718","anyone_interested"
"719","fun_film"
"720","as_young"
"721","certainly"
"722","true_story"
"723","to_find"
"724","rating_8"
"725","all_time"
"726","effectively"
"727","film_shows"
"728","masterpiece_of"
"729","of_emotions"
"730","this_masterpiece"
"731","be_seen"
"732","give_7"
"733","nonetheless"
"734","experiences"
"735","chance_to"
"736","absorbing"
